Paper_ID,Title,Year,Reviewer_Name,LMIC_Score,lmic_score_adjusted,reviewer_bias,Architecture_Norm,Application_Norm,Low_Field_Norm,Reason_Selected
15,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,2020,David Restrepo,1.0,2.0,-1.24,CNN,Musculoskeletal,No,reviewer is strict (bias=-1.24); LMIC=1; arch=CNN
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,2022,Martha Nakitanda,2.0,3.0,-1.24,CNN,Cardiac,No,reviewer is strict (bias=-1.24); LMIC=2; arch=CNN
12,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,2023,Ernest Namdar,2.0,2.0,-0.24,Diffusion,Brain,No,LMIC=2; arch=Diffusion
42,MRI Super-Resolution With Ensemble Learning and Complementary Priors,2020,Matheus Botto,2.0,1.5,0.26,GAN,Musculoskeletal,No,LMIC=2; arch=GAN
16,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,2025,David Restrepo,3.0,4.0,-1.24,CNN,Other,No,classification flips (Low/Moderate → High; likely under-scored); reviewer is strict (bias=-1.24); LMIC=3; arch=CNN
45,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,2021,Matheus Botto,3.0,2.5,0.26,Transformer,Brain,No,LMIC=3; arch=Transformer
26,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,2024,Nankya Joanitah,4.0,3.5,0.51,U-Net,Musculoskeletal,Yes,classification flips (High → Low/Moderate; likely over-scored); reviewer is lenient (bias=+0.51); LMIC=4; arch=U-Net
40,Super resolution using sparse sampling at portable ultra-low field MR,2024,Leo Kinyera,4.0,3.0,0.76,Non-AI,Brain,Yes,classification flips (High → Low/Moderate; likely over-scored); reviewer is lenient (bias=+0.76); LMIC=4; arch=Non-AI
41,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,2024,Leo Kinyera,4.0,3.0,0.76,CNN,Pediatric,Yes,classification flips (High → Low/Moderate; likely over-scored); reviewer is lenient (bias=+0.76); LMIC=4; arch=CNN
36,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,2024,Leo Kinyera,5.0,4.0,0.76,U-Net,Brain,Yes,reviewer is lenient (bias=+0.76); LMIC=5; arch=U-Net
